公司,岗位,城市,招聘类型,毕业届别,截止时间,投递链接,岗位JD,来源类型,核验状态,核验时间,来源原文
示例公司1（虚构）,数据运营助理,杭州,校园招聘,2027届,2026-10-15,https://example.invalid/jobs/1,虚构JD：数据分析、SQL和项目表达。,虚构测试,演示而非真实核验,,本行只用于演示，不可投递
示例公司2（虚构）,数据分析助理,杭州,校园招聘,2027届,2026-10-15,https://example.invalid/jobs/2,虚构JD：数据分析、SQL和项目表达。,虚构测试,演示而非真实核验,,本行只用于演示，不可投递
示例公司3（虚构）,数据分析助理,上海,校园招聘,2027届,2026-10-15,https://example.invalid/jobs/3,虚构JD：数据分析、SQL和项目表达。,虚构测试,演示而非真实核验,,本行只用于演示，不可投递
示例公司4（虚构）,数据运营助理,杭州,校园招聘,2026届,2026-10-15,https://example.invalid/jobs/4,虚构JD：数据分析、SQL和项目表达。,虚构测试,演示而非真实核验,,本行只用于演示，不可投递
示例公司5（虚构）,数据分析助理,杭州,校园招聘,2027届,2026-09-01,https://example.invalid/jobs/5,虚构JD：数据分析、SQL和项目表达。,虚构测试,演示而非真实核验,,本行只用于演示，不可投递
示例公司6（虚构）,数据分析助理,杭州,校园招聘,2027届,,https://example.invalid/jobs/6,虚构JD：数据分析、SQL和项目表达。,虚构测试,演示而非真实核验,,本行只用于演示，不可投递
示例公司7（虚构）,品牌营销助理,杭州,校园招聘,2027届,2026-10-15,https://example.invalid/jobs/7,虚构JD：营销策划,虚构测试,演示而非真实核验,,本行只用于演示，不可投递
示例公司8（虚构）,数据分析助理,杭州,实习,2027届,2026-10-15,https://example.invalid/jobs/8,虚构JD：数据分析、SQL和项目表达。,虚构测试,演示而非真实核验,,本行只用于演示，不可投递
示例公司9（虚构）,数据分析助理,杭州,校园招聘,2026年9月到2027年8月,2026-10-15,https://example.invalid/jobs/9,虚构JD：数据分析、SQL和项目表达。,虚构测试,演示而非真实核验,,本行只用于演示，不可投递
示例公司10（虚构）,数据运营助理,杭州,校园招聘,2027届,2026-10-15,,虚构JD：数据分析、SQL和项目表达。,虚构测试,演示而非真实核验,,本行只用于演示，不可投递
示例公司11（虚构）,数据分析助理,杭州,校园招聘,2027届,2026-10-15,https://example.invalid/jobs/11,虚构JD：数据分析、SQL和项目表达。,虚构测试,演示而非真实核验,,本行只用于演示，不可投递
示例公司12（虚构）,数据分析助理,杭州,校园招聘,2027届,2026-10-15,https://example.invalid/jobs/12,虚构JD：数据分析、SQL和项目表达。,虚构测试,演示而非真实核验,,本行只用于演示，不可投递
示例公司1（虚构）,数据运营助理,杭州,校园招聘,2027届,2026-10-15,https://example.invalid/jobs/1?utm_source=demo,虚构JD：数据分析、SQL和项目表达。,虚构测试,演示而非真实核验,,本行只用于演示，不可投递
